  0.829866E+01 -0.213560E+02
  0.829866E+01 -0.213560E+02
  0.829669E+01 -0.213533E+02
  0.829669E+01 -0.213533E+02
  0.829467E+01 -0.213503E+02
  0.829467E+01 -0.213503E+02
  0.829252E+01 -0.213468E+02
  0.829252E+01 -0.213468E+02
  0.829022E+01 -0.213427E+02
  0.829022E+01 -0.213427E+02
  0.828776E+01 -0.213381E+02
  0.828776E+01 -0.213381E+02
  0.828511E+01 -0.213329E+02
  0.828511E+01 -0.213329E+02
  0.828227E+01 -0.213272E+02
  0.828227E+01 -0.213272E+02
  0.827924E+01 -0.213208E+02
  0.827924E+01 -0.213208E+02
  0.827601E+01 -0.213138E+02
  0.827601E+01 -0.213138E+02
  0.827257E+01 -0.213062E+02
  0.827257E+01 -0.213062E+02
  0.826892E+01 -0.212980E+02
  0.826892E+01 -0.212980E+02
  0.826506E+01 -0.212892E+02
  0.826506E+01 -0.212892E+02
  0.826099E+01 -0.212798E+02
  0.826098E+01 -0.212798E+02
  0.825671E+01 -0.212698E+02
  0.825669E+01 -0.212697E+02
  0.825219E+01 -0.212591E+02
  0.825222E+01 -0.212591E+02
  0.824752E+01 -0.212479E+02
  0.824747E+01 -0.212478E+02
  0.824253E+01 -0.212360E+02
  0.824261E+01 -0.212360E+02
  0.823738E+01 -0.212235E+02
  0.823749E+01 -0.212235E+02
  0.823202E+01 -0.212105E+02
  0.823217E+01 -0.212105E+02
  0.822644E+01 -0.211969E+02
  0.822664E+01 -0.211969E+02
  0.822066E+01 -0.211827E+02
  0.822090E+01 -0.211827E+02
  0.821497E+01 -0.211679E+02
  0.821467E+01 -0.211680E+02
  0.820883E+01 -0.211526E+02
  0.820848E+01 -0.211527E+02
  0.820250E+01 -0.211367E+02
  0.820209E+01 -0.211369E+02
  0.819551E+01 -0.211206E+02
  0.819597E+01 -0.211203E+02
  0.818925E+01 -0.211034E+02
  0.818873E+01 -0.211037E+02
  0.804956E+01 -0.207539E+02
  0.818234E+01 -0.210860E+02
  0.818177E+01 -0.210864E+02
  0.805989E+01 -0.207742E+02
  0.805871E+01 -0.207770E+02
  0.817525E+01 -0.210680E+02
  0.817463E+01 -0.210686E+02
  0.806892E+01 -0.207973E+02
  0.816731E+01 -0.210503E+02
  0.816798E+01 -0.210496E+02
  0.806777E+01 -0.207999E+02
  0.815981E+01 -0.210315E+02
  0.816054E+01 -0.210308E+02
  0.815292E+01 -0.210115E+02
  0.815215E+01 -0.210123E+02
  0.807674E+01 -0.208226E+02
  0.814433E+01 -0.209927E+02
  0.814515E+01 -0.209917E+02
  0.813636E+01 -0.209727E+02
  0.813722E+01 -0.209715E+02
  0.807786E+01 -0.208202E+02
